month	i_1YR	unempl	fxbis	gdp	corp_spread	mortg_spread	cred	equity	tb	CPI	us_baa	cm2	cloyne
1994-05-01	0.05501841	0.095	4.665289611	4.249247242	1.442656623	-0.59	3.648455504	3.918295442	0.178981307	1.817341819	1.44		0
1994-06-01	0.05688282	0.094	4.667945412	4.246429933	0.969208427	-1.02	3.657217141	3.87778871	0.235712184	1.817341819	1.55		0
1994-07-01	0.05789219	0.093	4.656354812	4.256925804	0.867437367	-0.84	3.661660761	3.89125447	0.20178213	1.814601814	1.51		0
1994-08-01	0.06373902	0.092	4.653946289	4.25866591	0.951931466	-0.96	3.665326068	3.938735407	0.245724676	1.816886361	1.50		0
1994-09-01	0.06723235	0.091	4.658572928	4.264082757	0.950337961	-1.14	3.674311743	3.914890691	0.224924063	1.817341819	1.52		0.563026172
1994-10-01	0.06794211	0.089	4.670229248	4.262954783	1.072692421	-0.67	3.675614897	3.890595361	0.213722447	1.816886361	1.46		0
1994-11-01	0.06630735	0.088	4.668859572	4.26460192	0.923330914	-0.53	3.683151359	3.901611144	0.231943639	1.817341819	1.36		0
1994-12-01	0.06904856	0.087	4.666755753	4.273125078	0.856848556	-0.46	3.688937077	3.881122269	0.210225382	1.819158954	1.29		0.592470407
1995-01-01	0.0704816	0.087	4.66244283	4.264736228	0.486156149	-0.52	3.695368211	3.880789412	0.26045516	1.819158954	1.30		0
1995-02-01	0.07139837	0.087	4.650322591	4.275390798	0.58925949	-0.33	3.688072129	3.883648362	0.260479548	1.821419716	1.38		0
1995-03-01	0.07033787	0.087	4.630011597	4.273096735	0.511271688	-0.23	3.698889346	3.886830123	0.266637502	1.824117239	1.50		0
1995-04-01	0.06944477	0.085	4.615274488	4.275110577	0.619640277	-0.08	3.708473414	3.923221403	0.219967034	1.826798046	1.54		0
1995-05-01	0.06883418	0.085	4.612958108	4.274515719	0.395937264	0.18	3.709010845	3.95320762	0.236036083	1.828576187	1.57		0.432400993
1995-06-01	0.06651405	0.085	4.612474853	4.27611957	1.135639618	0.24	3.710379692	3.970947397	0.240248855	1.828576187	1.73		0
1995-07-01	0.06690778	0.084	4.608503327	4.285010322	0.809165304	0.1	3.716166097	3.99332831	0.255279704	1.826352403	1.76		0
1995-08-01	0.06589247	0.085	4.619315286	4.284858792	0.70856686	0.24	3.714587292	4.015277468	0.219055548	1.828576187	1.70		0
1995-09-01	0.06389127	0.084	4.624582236	4.288930252	0.781791949	0.41	3.721436413	4.029838308	0.246254328	1.830788578	1.74		0
1995-10-01	0.06456313	0.084	4.618931151	4.288245377	0.631819896	-0.1	3.729009387	4.027828603	0.191858028	1.82946247	1.71		0
1995-11-01	0.06223506	0.082	4.608697426	4.292366018	0.635922897	0.18	3.731775623	4.03664125	0.262561828	1.829019555	1.75		0
1995-12-01	0.06018729	0.082	4.603638557	4.294576477	0.746144227	0.46	3.741565243	4.05252402	0.263049189	1.832110648	1.78		-0.392480695
1996-01-01	0.05952875	0.082	4.607726552	4.29479997	1.008633264	0.28	3.746553442	4.072180399	0.235123959	1.831229694	1.81		-0.250310991
1996-02-01	0.05890988	0.081	4.613730831	4.303636046	0.415572549	-0.26	3.751147605	4.083715309	0.203693251	1.833147112	1.82		0
1996-03-01	0.06065833	0.081	4.610539493	4.305205528	0.850498469	-0.6	3.757920647	4.081647731	0.21901092	1.835056102	1.77		-0.199898987
1996-04-01	0.06140603	0.081	4.612378174	4.302747216	0.865706005	-0.76	3.761537478	4.111957146	0.222402205	1.836956737	1.68		0
1996-05-01	0.06114803	0.081	4.621521205	4.309001832	0.823802277	-0.92	3.766852976	4.110635268	0.246713705	1.838219222	1.56		0
1996-06-01	0.05881001	0.08	4.637582372	4.304034263	0.889095042	-0.9	3.772120576	4.102720431	0.233395116	1.838849091	1.49		-0.091445599
1996-07-01	0.05737858	0.079	4.636639154	4.308197824	0.8985441	-0.77	3.781513371	4.086375102	0.236624557	1.836324116	1.49		0
1996-08-01	0.05755375	0.079	4.626204606	4.311904914	0.973206361	-0.83	3.788684425	4.115649133	0.217472603	1.838219222	1.54		0
1996-09-01	0.05824218	0.078	4.64115851	4.315770979	0.738387545	-0.89	3.79237164	4.13592133	0.218283419	1.840733235	1.51		0
1996-10-01	0.05977835	0.077	4.66492274	4.316048839	0.796558181	-0.62	3.799916756	4.15406972	0.245392116	1.840733235	1.54		0.178479202
1996-11-01	0.0646775	0.076	4.703610544	4.321103491	0.603860093	-0.68	3.811565168	4.142861696	0.218198819	1.840733235	1.58		0
1996-12-01	0.06442968	0.074	4.720760321	4.322660084	0.665614108	-0.56	3.805912642	4.155335447	0.226004133	1.841984805	1.59		0
1997-01-01	0.06388308	0.073	4.741112232	4.326361172	0.621723265	-0.56	3.823041767	4.187988159	0.262339671	1.840106094	1.52		0
1997-02-01	0.06199441	0.072	4.752690642	4.327561984	0.656342282	-0.2	3.831343364	4.218753882	0.228241768	1.84135947	1.52		0
1997-03-01	0.06329246	0.071	4.750335126	4.329645263	0.72669738	-0.45	3.83852037	4.226370353	0.206753528	1.841984805	1.49		0
1997-04-01	0.06516233	0.07	4.770182342	4.332601399	0.593663905	-0.64	3.842950098	4.212513537	0.20671784	1.843855423	1.45		0
1997-05-01	0.06498377	0.07	4.765713616	4.335243628	0.699371583	-0.17	3.857754967	4.264060061	0.223463289	1.84509804	1.49		0.324788487
1997-06-01	0.06662074	0.07	4.777422193	4.339275186	0.513842813	0.11	3.860718974	4.265783183	0.206868058	1.846337112	1.53	0.05833	0.323246241
1997-07-01	0.06911741	0.069	4.813646372	4.346695514	0.482519483	0.44	3.864326664	4.293794217	0.247543156	1.844477176	1.53	0.03484	0.540061751
1997-08-01	0.06965386	0.067	4.794167829	4.341317545	0.490017262	0.66	3.860859083	4.317477358	0.200352494	1.846955325	1.52	-0.04388	0.277734429
1997-09-01	0.06899683	0.065	4.777094243	4.350227013	0.488041454	1.18	3.863373314	4.33178742	0.21519088	1.848804701	1.50	-0.018	-0.226706063
1997-10-01	0.0692992	0.065	4.785342218	4.356817837	0.476160466	1.49	3.859186937	4.358982335	0.185337435	1.848804701	1.54	0.00742	-0.006774127
1997-11-01	0.07123011	0.064	4.814594614	4.355768882	0.565120499	1.38	3.872094433	4.304137474	0.163848772	1.848804701	1.54	0.03966	-0.262647501
1997-12-01	0.07000917	0.062	4.82574773	4.360305805	0.532275338	1.88	3.875395458	4.344598383	0.209700178	1.849419414	1.52	-0.04194	-0.512103857
1998-01-01	0.06805924	0.062	4.829801052	4.362329634	0.610457118	2.15	3.883662865	4.372225933	0.213534598	1.846955325	1.65	-0.01161	-0.126039557
